env_id,intensity_scale,wind_variant,load_scenario,best_fusion_score,avg_fusion_score,avg_warning_auprc,avg_rr,avg_cost
S0018,1.2,high_wind_high_pv,critical_stress,0.9419422359917613,0.5199432876330186,0.9998195556537668,0.3870432152640271,1807.5254156725453
S0016,1.2,low_wind_high_pv,extreme_plus_30pct,0.927030747990215,0.5135619236706889,0.9998195556537668,0.3777822331867048,1905.137709396116
S0017,1.2,high_wind_low_pv,peak_plus_15pct,0.914494141426978,0.49467053616645956,0.9998195556537668,0.3477548018550316,1763.738136328493
S0014,1.2,baseline_dpgmm,critical_stress,0.9090763130650313,0.4904263273289949,0.9998195556537668,0.3603255232109765,1905.7022748880706
S0015,1.2,low_wind_low_pv,base,0.8792735348683718,0.4695132103424995,0.9998195556537668,0.3161856737188845,1679.1698970742211
S0024,1.4,high_wind_high_pv,base,0.6864154535057688,0.5613930601572794,0.9999130192480219,0.3756553810903013,1556.824334755048
S0021,1.4,low_wind_high_pv,peak_plus_15pct,0.6861860009277586,0.5600230250140867,0.9999130192480219,0.3793325136723569,1742.7953699834334
S0020,1.4,baseline_dpgmm,extreme_plus_30pct,0.6815605073898624,0.5550791140333041,0.9999130192480219,0.36585744033056833,1981.077167790248
S0019,1.4,baseline_dpgmm,base,0.6803665390782478,0.5544964462166924,0.9999130192480219,0.3449964850918534,1642.6147248693119
S0022,1.4,high_wind_low_pv,peak_plus_15pct,0.6800858820652471,0.5534994359122889,0.9999130192480219,0.3457322935055892,1820.6359085042884
S0023,1.4,high_wind_low_pv,critical_stress,0.6726706855057087,0.5469939874808105,0.9999130192480219,0.3385405030311698,2028.2778016280688
S0010,1.0,low_wind_high_pv,base,0.21637807209878618,0.2096027886080845,0.9996279983578636,0.3902262586312174,1386.2452214889809
S0012,1.0,high_wind_high_pv,peak_plus_15pct,0.21556838396504516,0.20943510639282203,0.9996279983578636,0.39684243730865976,1538.2362342633323
S0006,0.8,high_wind_high_pv,extreme_plus_30pct,0.2151659411331885,0.20797364671349355,,0.3932364442274679,1714.1330792331
S0003,0.8,low_wind_high_pv,critical_stress,0.21434762211956243,0.207146515532584,,0.39756005504120273,1646.3307875509229
S0013,1.0,high_wind_high_pv,critical_stress,0.2084217035006556,0.20201038063123106,0.9996279983578636,0.39722159239859944,1684.879027993273
S0005,0.8,high_wind_low_pv,peak_plus_15pct,0.19889342154281048,0.19072837624010358,,0.35257569526754745,1647.620467913223
S0007,1.0,baseline_dpgmm,peak_plus_15pct,0.195415100523348,0.19107617440255315,0.9996279983578636,0.36705772761486444,1638.266752788671
S0002,0.8,low_wind_low_pv,peak_plus_15pct,0.19445984460727492,0.18597686178493195,,0.34445664132895515,1689.8047929711029
S0004,0.8,high_wind_low_pv,base,0.1936486407243719,0.18517843632945577,,0.3261824307295321,1542.8228693494264
S0001,0.8,low_wind_low_pv,base,0.19201732800249352,0.1834390308654042,,0.3219345986938458,1562.4037955898898
S0008,1.0,baseline_dpgmm,critical_stress,0.18500759861675534,0.1812139769348981,0.9996279983578636,0.3653559624076229,1808.6596502455059
S0011,1.0,high_wind_low_pv,extreme_plus_30pct,0.18392723025517857,0.18179785327015624,0.9996279983578636,0.3548594953099986,1886.0902405934794
S0009,1.0,low_wind_low_pv,extreme_plus_30pct,0.17901567312679284,0.17728359906331534,0.9996279983578636,0.3467941364882282,1931.481224838316
